unit_id,question_text,options,answer_index,explanation,image_url
1.正負の数の加減,"次の計算をしなさい。  
\( (-6) + (-5) \)","[""-18"", ""-3"", ""-15"", ""-11""]",4,"同符号・異符号の加法です。  
\( (-6) + (-5) = -11 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (-15) + (-20) \)","[""-33"", ""-43"", ""-35"", ""-45""]",3,"同符号・異符号の加法です。  
\( (-15) + (-20) = -35 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (3) + (7) \)","[""7"", ""15"", ""10"", ""14""]",3,"同符号・異符号の加法です。  
\( (3) + (7) = 10 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (16) + (-2) \)","[""18"", ""14"", ""23"", ""6""]",2,"同符号・異符号の加法です。  
\( (16) + (-2) = 14 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (-8) + (-3) \)","[""-12"", ""-1"", ""-21"", ""-11""]",4,"同符号・異符号の加法です。  
\( (-8) + (-3) = -11 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (9) + (3) \)","[""14"", ""3"", ""13"", ""12""]",4,"同符号・異符号の加法です。  
\( (9) + (3) = 12 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (-13) + (2) \)","[""-11"", ""-5"", ""-3"", ""-2""]",1,"同符号・異符号の加法です。  
\( (-13) + (2) = -11 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (-16) + (16) \)","[""2"", ""0"", ""5"", ""-9""]",2,"同符号・異符号の加法です。  
\( (-16) + (16) = 0 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (4) + (17) \)","[""26"", ""22"", ""21"", ""18""]",3,"同符号・異符号の加法です。  
\( (4) + (17) = 21 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (4) + (-16) \)","[""-5"", ""-7"", ""-12"", ""-4""]",3,"同符号・異符号の加法です。  
\( (4) + (-16) = -12 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (20) - (-7) \)","[""27"", ""26"", ""32"", ""19""]",1,"減法は、引く数の符号を変えて加法に直して計算します。  
\( (20) - (-7) = (20) + (7) = 27 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (-6) - (-9) \)","[""3"", ""10"", ""5"", ""7""]",1,"減法は、引く数の符号を変えて加法に直して計算します。  
\( (-6) - (-9) = (-6) + (9) = 3 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (4) - (-12) \)","[""10"", ""16"", ""6"", ""19""]",2,"減法は、引く数の符号を変えて加法に直して計算します。  
\( (4) - (-12) = (4) + (12) = 16 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (-14) - (19) \)","[""-37"", ""-38"", ""-33"", ""-31""]",3,"減法は、引く数の符号を変えて加法に直して計算します。  
\( (-14) - (19) = (-14) + (-19) = -33 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (16) - (6) \)","[""7"", ""5"", ""10"", ""3""]",3,"減法は、引く数の符号を変えて加法に直して計算します。  
\( (16) - (6) = (16) + (-6) = 10 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (12) - (14) \)","[""1"", ""3"", ""4"", ""-2""]",4,"減法は、引く数の符号を変えて加法に直して計算します。  
\( (12) - (14) = (12) + (-14) = -2 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (-15) - (-17) \)","[""5"", ""12"", ""8"", ""2""]",4,"減法は、引く数の符号を変えて加法に直して計算します。  
\( (-15) - (-17) = (-15) + (17) = 2 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (-15) - (-14) \)","[""7"", ""-5"", ""6"", ""-1""]",4,"減法は、引く数の符号を変えて加法に直して計算します。  
\( (-15) - (-14) = (-15) + (14) = -1 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (-17) - (8) \)","[""-16"", ""-22"", ""-20"", ""-25""]",4,"減法は、引く数の符号を変えて加法に直して計算します。  
\( (-17) - (8) = (-17) + (-8) = -25 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (9) - (2) \)","[""7"", ""6"", ""0"", ""14""]",1,"減法は、引く数の符号を変えて加法に直して計算します。  
\( (9) - (2) = (9) + (-2) = 7 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (-2) - (1) + (-8) \)","[""-9"", ""-7"", ""-14"", ""-11""]",4,"左から順に計算するか、加法だけの式に直して計算します。  
\( (-2) - (1) + (-8) = (-2) + (-1) + (-8) = -11 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (13) - (13) + (7) \)","[""13"", ""-3"", ""12"", ""7""]",4,"左から順に計算するか、加法だけの式に直して計算します。  
\( (13) - (13) + (7) = (13) + (-13) + (7) = 7 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (15) - (-8) + (-12) \)","[""21"", ""10"", ""11"", ""20""]",3,"左から順に計算するか、加法だけの式に直して計算します。  
\( (15) - (-8) + (-12) = (15) + (8) + (-12) = 11 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (14) - (6) + (-9) \)","[""-1"", ""9"", ""-5"", ""-7""]",1,"左から順に計算するか、加法だけの式に直して計算します。  
\( (14) - (6) + (-9) = (14) + (-6) + (-9) = -1 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (14) - (14) + (2) \)","[""3"", ""-5"", ""5"", ""2""]",4,"左から順に計算するか、加法だけの式に直して計算します。  
\( (14) - (14) + (2) = (14) + (-14) + (2) = 2 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (13) - (13) + (-13) \)","[""-13"", ""-7"", ""-3"", ""-16""]",1,"左から順に計算するか、加法だけの式に直して計算します。  
\( (13) - (13) + (-13) = (13) + (-13) + (-13) = -13 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (-9) - (-10) + (4) \)","[""5"", ""2"", ""0"", ""-1""]",1,"左から順に計算するか、加法だけの式に直して計算します。  
\( (-9) - (-10) + (4) = (-9) + (10) + (4) = 5 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (-9) - (5) + (-5) \)","[""-19"", ""-21"", ""-23"", ""-28""]",1,"左から順に計算するか、加法だけの式に直して計算します。  
\( (-9) - (5) + (-5) = (-9) + (-5) + (-5) = -19 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (10) - (-13) + (1) \)","[""24"", ""18"", ""14"", ""28""]",1,"左から順に計算するか、加法だけの式に直して計算します。  
\( (10) - (-13) + (1) = (10) + (13) + (1) = 24 \) となります。",
