unit_id,category,question_text,options,answer_index,explanation,image_url
2.正負の数の乗除,1.正の数と負の数,正の数に負の数をかけると、積の符号はどうなりますか。,"[""正"", ""0"", ""変化しない"", ""負""]",4,正解は \( 負 \) です。,
2.正負の数の乗除,1.正の数と負の数,負の数に負の数をかけると、積の符号はどうなりますか。,"[""変化しない"", ""負"", ""正"", ""0""]",3,正解は \( 正 \) です。,
2.正負の数の乗除,1.正の数と負の数,ある数を 0 でわるとどうなりますか。,"[""元の数と同じ"", ""1になる"", ""計算できない"", ""0になる""]",3,正解は \( 計算できない \) です。,
2.正負の数の乗除,1.正の数と負の数,逆数とは、その数とかけたときに何になる数ですか。,"[""1"", ""-1"", ""0"", ""元の数""]",1,正解は \( 1 \) です。,
2.正負の数の乗除,1.正の数と負の数,\( -\frac{3}{4} \) の逆数は何ですか。,"[""-\\frac{3}{4}"", ""-\\frac{4}{3}"", ""\\frac{4}{3}"", ""\\frac{3}{4}""]",2,正解は \( -\frac{4}{3} \) です。,
2.正負の数の乗除,1.正の数と負の数,積の符号を決めるとき、負の数が奇数個あると符号はどうなりますか。,"[""正 (+)"", ""決まらない"", ""負 (-)"", ""0""]",3,正解は \( 負 (-) \) です。,
2.正負の数の乗除,1.正の数と負の数,積の符号を決めるとき、負の数が偶数個あると符号はどうなりますか。,"[""負 (-)"", ""正 (+)"", ""決まらない"", ""0""]",2,正解は \( 正 (+) \) です。,
2.正負の数の乗除,1.正の数と負の数,0 にどんな数をかけても、積はいくらになりますか。,"[""1"", ""その数自体"", ""計算できない"", ""0""]",4,正解は \( 0 \) です。,
2.正負の数の乗除,1.正の数と負の数,2の3乗 (\( 2^3 \)) の値はいくらですか。,"[""8"", ""16"", ""6"", ""9""]",1,正解は \( 8 \) です。,
2.正負の数の乗除,1.正の数と負の数,(-3)の2乗 (\( (-3)^2 \)) の値はいくらですか。,"[""-6"", ""6"", ""9"", ""-9""]",3,正解は \( 9 \) です。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( (-126) \div 9 \)","[""-13"", ""-14"", ""-19"", ""-15""]",2,計算結果は \( -14 \) です。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( (-6) \times (-4) \)","[""19"", ""24"", ""26"", ""25""]",2,計算結果は \( 24 \) です。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( (-14) \div 2 \)","[""-7"", ""-9"", ""-8"", ""-12""]",1,計算結果は \( -7 \) です。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( 3 \times 6 \)","[""19"", ""17"", ""16"", ""18""]",4,計算結果は \( 18 \) です。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( (-4) \times (-10) \)","[""42"", ""38"", ""45"", ""40""]",4,計算結果は \( 40 \) です。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( (-20) \div 5 \)","[""-5"", ""-2"", ""-6"", ""-4""]",4,計算結果は \( -4 \) です。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( 63 \div 7 \)","[""7"", ""9"", ""14"", ""10""]",2,計算結果は \( 9 \) です。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( (-1) \times (-5) \)","[""6"", ""0"", ""7"", ""5""]",4,計算結果は \( 5 \) です。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( (-42) \div (-7) \)","[""6"", ""4"", ""11"", ""7""]",1,計算結果は \( 6 \) です。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( 10 \times (-2) \)","[""-20"", ""-21"", ""-18"", ""-15""]",1,計算結果は \( -20 \) です。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( 9 \times 6 \)","[""53"", ""54"", ""52"", ""56""]",2,計算結果は \( 54 \) です。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( 15 \times 5 \)","[""76"", ""80"", ""75"", ""73""]",3,計算結果は \( 75 \) です。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( (-8) \times (-12) \)","[""98"", ""101"", ""96"", ""97""]",3,計算結果は \( 96 \) です。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( (-8) \times (-9) \)","[""71"", ""73"", ""70"", ""72""]",4,計算結果は \( 72 \) です。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( (-27) \div 9 \)","[""-2"", ""-3"", ""2"", ""-4""]",2,計算結果は \( -3 \) です。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( (-1.9) \times (-2) \)","[""3.7"", ""3.9"", ""3.6"", ""3.8""]",4,小数の計算です。符号に注意して計算すると \( 3.8 \) になります。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( 0.7 \times 0.2 \)","[""0.04"", ""0.24"", ""0.14"", ""0.34""]",3,小数の計算です。符号に注意して計算すると \( 0.14 \) になります。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( 3.0 \div (-0.2) \)","[""-16"", ""-10"", ""-15.0"", ""-17""]",3,小数の計算です。符号に注意して計算すると \( -15.0 \) になります。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( (-1.0) \times (-0.2) \)","[""0.4"", ""0.0"", ""0.2"", ""0.1""]",3,小数の計算です。符号に注意して計算すると \( 0.2 \) になります。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( (-0.8) \div (-0.2) \)","[""-1"", ""4.0"", ""9"", ""2""]",2,小数の計算です。符号に注意して計算すると \( 4.0 \) になります。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( (-2.7) \div (-0.2) \)","[""13.3"", ""13.7"", ""13.5"", ""13.6""]",3,小数の計算です。符号に注意して計算すると \( 13.5 \) になります。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( (-1.4) \div 0.2 \)","[""-7.0"", ""-6"", ""-12"", ""-8""]",1,小数の計算です。符号に注意して計算すると \( -7.0 \) になります。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( 3.3 \div (-0.2) \)","[""-16.7"", ""-16.5"", ""-16.3"", ""-16.6""]",2,小数の計算です。符号に注意して計算すると \( -16.5 \) になります。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( 1.6 \div (-0.5) \)","[""-3.2"", ""-3.3"", ""-3.4"", ""-3.0""]",1,小数の計算です。符号に注意して計算すると \( -3.2 \) になります。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( (-1.6) \div (-0.2) \)","[""8.0"", ""7"", ""13"", ""3""]",1,小数の計算です。符号に注意して計算すると \( 8.0 \) になります。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( \frac{1}{4} \div \frac{9}{7} \)","[""\\frac{7}{37}"", ""\\frac{-7}{36}"", ""\\frac{7}{36}"", ""\\frac{5}{36}""]",3,分数の計算です。符号に注意し、最後は約分します。正解は \( \frac{7}{36} \) です。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( (-\frac{3}{2}) \times \frac{6}{9} \)","[""-1"", ""1"", ""4"", ""-3""]",1,分数の計算です。符号に注意し、最後は約分します。正解は \( -1 \) です。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( \frac{1}{2} \div (-\frac{7}{2}) \)","[""\\frac{-1}{9}"", ""\\frac{-1}{7}"", ""\\frac{-1}{8}"", ""\\frac{7}{-1}""]",2,分数の計算です。符号に注意し、最後は約分します。正解は \( \frac{-1}{7} \) です。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( \frac{7}{3} \div \frac{4}{4} \)","[""\\frac{7}{3}"", ""\\frac{9}{3}"", ""\\frac{7}{4}"", ""\\frac{3}{7}""]",1,分数の計算です。符号に注意し、最後は約分します。正解は \( \frac{7}{3} \) です。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( \frac{8}{8} \times \frac{3}{2} \)","[""\\frac{4}{2}"", ""\\frac{3}{2}"", ""\\frac{2}{3}"", ""\\frac{5}{2}""]",2,分数の計算です。符号に注意し、最後は約分します。正解は \( \frac{3}{2} \) です。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( (-\frac{6}{6}) \div \frac{8}{5} \)","[""\\frac{-5}{10}"", ""\\frac{-8}{8}"", ""\\frac{-5}{8}"", ""\\frac{-5}{-8}""]",3,分数の計算です。符号に注意し、最後は約分します。正解は \( \frac{-5}{8} \) です。,
2.正負の数の乗除,1.正の数と負の数,"次の計算をしなさい。
\( (-\frac{1}{2}) \div (-\frac{3}{8}) \)","[""\\frac{4}{3}"", ""\\frac{4}{-3}"", ""\\frac{1}{3}"", ""\\frac{3}{4}""]",1,分数の計算です。符号に注意し、最後は約分します。正解は \( \frac{4}{3} \) です。,
