unit_id,category,question_text,options,answer_index,explanation,image_url
"5.試験対策演習","2.式の計算","長さ \( 7 \mathrm{m} \) の紙テープから \( 30 \mathrm{cm} \) の紙テープを \( a \) 本切り取った。残った長さを \(\mathrm{cm}\) で表しなさい。","[""\\( 700 - 30a \\)"", ""\\( 7 - 30a \\)"", ""\\( 700 - 0.3a \\)"", ""\\( 30a - 700 \\)""]",1,"\( 7 \mathrm{m}=700 \mathrm{cm} \) なので、残りは \( 700 - 30a \) \(\mathrm{cm}\) です。",""
"5.試験対策演習","2.式の計算","\( 50 \) 個のクッキーを、1人 \( 3 \) 個ずつ \( a \) 人に配った。残った個数を表しなさい。","[""\\( 50 - a \\)"", ""\\( 50 - 3a \\)"", ""\\( 3a - 50 \\)"", ""\\( 150 - a \\)""]",2,"配った個数は \( 3a \) 個なので、残りは \( 50 - 3a \) 個です。",""
"5.試験対策演習","2.式の計算","\( 100 \mathrm{g} \) あたり \( x \) 円のお菓子を \( y \mathrm{g} \) 買ったときの代金を表しなさい。","[""\\( 100xy \\)"", ""\\( \\frac{x+y}{100} \\)"", ""\\( \\frac{xy}{100} \\)"", ""\\( \\frac{100x}{y} \\)""]",3,"\( 1 \mathrm{g} \) あたり \( \frac{x}{100} \) 円なので、\( y \mathrm{g} \) では \( \frac{xy}{100} \) 円です。",""
"5.試験対策演習","2.式の計算","1辺 \( a \mathrm{cm} \) の立方体で、縦を \( 1 \mathrm{cm} \) 増やし、横を \( 2 \mathrm{cm} \) 減らし、高さを2倍にした直方体の体積を表しなさい。","[""\\( 2a(a+1)(a-2) \\)"", ""\\( a(a+1)(a-2) \\)"", ""\\( 2(a+1)(a-2) \\)"", ""\\( 2a(a-1)(a+2) \\)""]",1,"縦 \( a+1 \)、横 \( a-2 \)、高さ \( 2a \) なので、体積は \( 2a(a+1)(a-2) \) です。",""
"5.試験対策演習","2.式の計算","時速 \( a \mathrm{km} \) で \( x \) 時間、時速 \( b \mathrm{km} \) で \( y \) 時間進んだときの平均速度を表しなさい。","[""\\( \\frac{a+b}{x+y} \\)"", ""\\( \\frac{ax+by}{x+y} \\)"", ""\\( \\frac{x+y}{ax+by} \\)"", ""\\( ax+by \\)""]",2,"進んだ距離は \( ax+by \)、時間は \( x+y \) なので、平均速度は \( \frac{ax+by}{x+y} \) です。",""
"5.試験対策演習","2.式の計算","半径 \( a \mathrm{cm} \) の半円の周の長さを表しなさい。ただし円周率は \( \pi \) とする。","[""\\( \\pi a \\)"", ""\\( 2a+\\pi a \\)"", ""\\( 2\\pi a \\)"", ""\\( a+\\pi a \\)""]",2,"半円の弧は \( \pi a \)、直径は \( 2a \) なので、周の長さは \( 2a+\pi a \) です。",""
"5.試験対策演習","2.式の計算","\( 4a+3(2b-a)-8b \) を計算しなさい。","[""\\( a-2b \\)"", ""\\( a+2b \\)"", ""\\( 7a-2b \\)"", ""\\( a-14b \\)""]",1,"\( 4a+6b-3a-8b=(4-3)a+(6-8)b=a-2b \) です。",""
"5.試験対策演習","2.式の計算","\( 7a-4(a-2b)-3b \) を計算しなさい。","[""\\( 11a-11b \\)"", ""\\( 3a+5b \\)"", ""\\( 3a-5b \\)"", ""\\( 7a+5b \\)""]",2,"\( 7a-4a+8b-3b=3a+5b \) です。",""
"5.試験対策演習","2.式の計算","\( 2(2a-b)-(3a-b) \) を計算しなさい。","[""\\( 7a-3b \\)"", ""\\( a-b \\)"", ""\\( a-3b \\)"", ""\\( 4a-2b \\)""]",2,"\( 4a-2b-3a+b=a-b \) です。",""
"5.試験対策演習","2.式の計算","\( 3(2x-5y)-2(3x-7y) \) を計算しなさい。","[""\\( -y \\)"", ""\\( y \\)"", ""\\( 12x-29y \\)"", ""\\( -29y \\)""]",1,"\( 6x-15y-6x+14y=-y \) です。",""
"5.試験対策演習","2.式の計算","\( y-\{4x-(3x-2y)\} \) を計算しなさい。","[""\\( -x+y \\)"", ""\\( x-y \\)"", ""\\( -x-y \\)"", ""\\( x+3y \\)""]",3,"かっこの中は \( 4x-3x+2y=x+2y \) なので、\( y-(x+2y)=-x-y \) です。",""
"5.試験対策演習","2.式の計算","\( a-2b-\{2c-(b+c-a)\} \) を計算しなさい。","[""\\( -b-c \\)"", ""\\( a-b-c \\)"", ""\\( -b+c \\)"", ""\\( 2a-3b-c \\)""]",1,"\( 2c-(b+c-a)=c-b+a \) なので、\( a-2b-(c-b+a)=-b-c \) です。",""
"5.試験対策演習","2.式の計算","\( 2x-\{3x^2+1-2(x-x^2)\} \) を計算しなさい。","[""\\( -5x^2+4x-1 \\)"", ""\\( 5x^2-1 \\)"", ""\\( -x^2+4x+1 \\)"", ""\\( -5x^2-1 \\)""]",1,"中かっこ内は \( 3x^2+1-2x+2x^2=5x^2-2x+1 \) なので、\( 2x-(5x^2-2x+1)=-5x^2+4x-1 \) です。",""
"5.試験対策演習","2.式の計算","\( a-\{4b-2(4a-3b)\} \) を計算しなさい。","[""\\( -7a+10b \\)"", ""\\( 9a-10b \\)"", ""\\( a-2b \\)"", ""\\( 9a+10b \\)""]",2,"\( 4b-2(4a-3b)=4b-8a+6b=10b-8a \) なので、\( a-(10b-8a)=9a-10b \) です。",""
