unit_id,question_text,answer,explanation
"4級第1回","父はキリスト教を<u>シンコウ</u>している。","信仰","仏や神をしんじること"
"4級第1回","中宮のおそばに<u>シコウ</u>する女房。","伺候","身分の高い人のそばにつかえること"
"4級第1回","大女優に映画出演を<u>イライ</u>する。","依頼","人にたのむこと"
"4級第1回","<u>シンリャク</u>戦争は許されない行為だ。","侵略","他国に攻め入り領土を奪うこと"
"4級第1回","明治時代の<u>フウゾク</u>を研究する。","風俗","生活のしかたやしきたり"
"4級第1回","階段で足を踏み外して<u>テントウ</u>する。","転倒","ひっくりかえること"
"4級第1回","初出場で初優勝の<u>イギョウ</u>を成し遂げた。","偉業","すぐれた仕事"
"4級第1回","ことのなりゆきを黙って<u>ボウカン</u>する。","傍観","何もしないでただ見ていること"
"4級第1回","輸出は近年増える<u>ケイコウ</u>にある。","傾向","性質や状態がある方にかたむくこと"
"4級第1回","山中深く<u>ソウイン</u>が点在している。","僧院","そうが住んでいる建物・寺"
"4級第1回","兄は幼いころから<u>レイギ</u>正しかった。","礼儀","社会的な生活上のしきたりやきまり"
"4級第1回","貿易交渉に大国が<u>カイニュウ</u>する。","介入","第三者が間にはいりこむこと"
"4級第1回","<u>ゼッキョウ</u>するほど怖い遊園地の乗り物。","絶叫","大声でさけぶこと"
"4級第1回","男が真情を<u>トロ</u>する場面で始まる小説。","吐露","心中をかくさず述べること"
"4級第1回","代表選手団の士気を<u>コブ</u>する。","鼓舞","はげます"
"4級第1回","<u>オソザ</u>きの梅を見に出かける。","遅咲","普通よりおくれてさくこと"
"4級第1回","<u>キョウタン</u>に値する見事な彫刻。","驚嘆","おどろき感心すること"
"4級第1回","温風の<u>フンシャ</u>口に手をかざす。","噴射","気体などが勢いよくふきだすこと"
"4級第1回","特別国会を<u>ショウシュウ</u>する。","召集","国会議員をしゅう合させること"
"4級第1回","鉄分を豊富に<u>ガンユウ</u>しているレバー。","含有","中にふくんでいること"
"4級第1回","彼は<u>トウトツ</u>に話題をかえた。","唐突","とつ然"
"4級第1回","<u>ネボウ</u>して一時間目に遅刻した。","寝坊","あさ遅くまでねていること"
"4級第1回","<u>テイボウ</u>の上に座って海を見渡す。","堤防","海や川の水をふせぐための土手"
"4級第1回","少しずつ傾き続けたピサの<u>シャトウ</u>。","斜塔","かたむいているとう"
"4級第1回","オゾン層の<u>ハカイ</u>をくい止める。","破壊","こわすこと"
"4級第1回","自説にあくまで<u>コシツ</u>する。","固執","自分の立場にこだわって曲げないこと"
